Species,Unknown Disease,Black Band,Dark Spots,Red Band,White Band,White Plague,White Spot,Yellow Band,Clade
1 Acropora cervicornis,0.948,0,0,0,2.212,0,0,0,complex
1 Acropora palmata,0,0,0,0,5.479,0,5.479,0,complex
1 Acropora prolifera,0,0,0,0,0,0,0,0,complex
1 Undaria agaricites,0.113,0,0.243,0,0,0.081,0,0.016,complex
1 Agaricia fragilis,0,0,0,0,0,0,0,0,complex
1 Undaria humilis,0,0,0,0,0,0,0,0,complex
1 Oculina diffusa,0,0,0,0,0,0.885,0,0,complex
1 Oculina sp.,0,0,0,0,0,0,0,0,complex
1 Porites astreoides,0.173,0.006,0,0,0,0,0,0,complex
1 Porites cf. branneri,0,0,0,0,0,0,0,0,complex
1 Porites divaricata,0.089,0,0,0,0,0,0,0,complex
1 Porites furcata,0,0,0,0,0,0,0,0,complex
1 Siderastrea siderea,0.267,0.045,1.942,0.006,0,0.041,0,0.006,complex
1 Siderastrea sp.,0,0,0,0,0,0,0,0,complex
1 Solenastrea bournoni,0.348,0.07,0.07,0,0,0.348,0,0,complex
1 Undaria sp.,0,0,0,0,0,0,0,0,complex
1 Agaricia lamarcki,0,0,0.716,0,0,0,0,0,complex
1 Agaricia sp.,0,0,1.402,0,0,0,0,0,complex
1 Undaria tenuifolia,0,0,0,0,0,0,0,0,complex
2 Cladacora arbuscula,0,0,0,0,0,0,0,0,robust
2 Diploria labyrinthiformis,0.442,0.147,0.147,0,0,0.147,0,0,robust
2 Pseudodiploria strigosa,0.15,0.301,0,0,0,0.15,0,0,robust
2 Diploria sp.,0,0,0,0,0,0,0,0,robust
2 Eusmilia fastigiata,0,0,0.281,0,0,0.141,0,0,robust
2 Favia fragum,0.752,0,0,0,0,0,0,0,robust
2 Madracis decactis,0,0.168,0.168,0,0,0,0,0,robust
O Millepora sp.,0,0,0,0,0,0,0,0,outgroup
2 Solenastrea hyades,0.617,0,0,0,0,0,0,0,robust
1 Stephanocoenia intersepta,0.229,0,1.206,0.007,0,0.148,0,0.007,complex
1 Solenastrea sp.,0,0,0,0,0,0,0,0,complex
2 Meandrina jacksoni,0,0,0,0,0,0,0,0,robust
2 Pseudodiploria sp.,0,0,0,0,0,0,0,0,robust
2 Meandrina sp.,0,0,0,0,0,0,0,0,robust
2 Isophyllia sp.,0,0,0,0,0,0,0,0,robust
O Manicina areolata,0,0,0,0,0,0,0,0,outgroup
O Meandrina meandrites,0.237,0,0.394,0,0,0.158,0,0,outgroup
O Millepora alcicornis,0,0,0.005,0,0,0,0,0,outgroup
2 Colpophyllia natans,0.156,0.469,0.052,0,0,0.156,0,0.052,robust
2 Dendrogyra cylindrus,0,0,0,0,0,0,0,0,robust
2 Dichocoenia stokesi,0.142,0.118,0.047,0,0,0.402,0,0,robust
2 Pseudodiploria clivosa,0.391,0,0,0,0,0.26,0,0,robust
2 Isophyllia rigida,0,0,0,0,0,0,0,0,robust
2 Isophyllia sinuosa,0,0,0,0,0,0,0,0,robust
2 Helioseris cucullata,1.136,0,0,0,0,0,0,0,robust
2 Madracis formosa,5.556,0,0,0,0,0,0,0,robust
2 Madracis auretenra (mirabilis),0,0,0,0,0,0.398,0,0,robust
2 Madracis sp.,0,0,0,0,0,0,0,0,robust
2 Millepora complanata,0,0,0,0,0,0,0,0,robust
2 Orbicella annularis,0.256,0,0,0,0,1.024,0,0.512,robust
2 Montastraea cavernosa,0.2,0.188,0.025,0,0,0.325,0,0,robust
2 Orbicella faveolata,0.228,0.046,0.091,0,0,0.547,0,0.319,robust
2 Orbicella franksi,0.393,0.098,0,0,0,1.668,0,0.196,robust
2 Orbicella sp.,0,0,0,0,0,6.25,0,0,robust
2 Mussa angulosa,0,0,0,0,0,0.847,0,0,robust
2 Mycetophyllia aliciae,0,0,0,0,0,0,0,0,robust
2 Mycetophyllia danaana,0,0,0,0,0,0,0,0,robust
2 Mycetophyllia ferox,0,0,0,0,0,0,0,0,robust
2 Mycetophyllia lamarckiana,0,0,0,0,0,0,0,0,robust
2 Mycetophyllia sp.,0,0,0,0,0,0,0,0,robust
2 Porites porites,0.082,0,0,0,0,0,0,0,robust
2 Porites sp.,0.299,0,0,0,0,0,0,0,robust
2 Scolymia cubensis,0,0,0,0,0,0,0,0,robust
2 Scolymia lacera,0,0,0,0,0,0,0,0,robust
2 Scolymia sp.,0,0,1.053,0,0,0,0,0,robust
2 Siderastrea radians,0.261,0.029,0.696,0.087,0,0.029,0,0,robust
