"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"latitude"
"Pocillopora"	5.830450841	148.6521739	-6.760014862
"Stylophora"	3.687150838	634.4285714	-14.32966583
"Psammocora"	12.38164603	244.75	0.857164467
"Physogyra"	0	1.8	-14.6855898
"Diploastrea"	0.704225352	5	-13.2824695
"Echinopora"	1.87680462	46.55555556	-8.616241077
"Favites"	0.585529067	14.22222222	-23.97540251
"Echinophyllia"	0.553505535	55.75	-20.1972618
"Hydnophora"	3.109656301	425.5714286	-8.680812
"Lobophyllia"	3.1543052	145.2941176	-9.100501944
"Turbinaria"	1.872074883	44.90909091	-10.97863177
"Porites"	16.51667822	340.1538462	-11.42286615
"Pachyseris"	2.951510892	6.875	-12.479175
"Galaxea"	3.649635036	58.5	-10.97113763
"Acropora"	3.64311332	58.68181818	-16.57331087
"Pavona"	4.369457063	3.708333333	-3.59304948
"Goniastrea"	0.288018433	6.714285714	-19.97300159
"Cyphastrea"	21.66207168	621.6666667	-25.59452333
"Seriatopora"	5.12195122	62.75	-27.3308595
"Tubastraea"	0.909090909	7.285714286	3.79351884
"Platygyra"	1.229773463	204.4	-4.9890854
"Acanthastrea"	0	8	-0.229628833
"Orbicella"	3.315238465	11.75	10.28825764
"Stephanocoenia"	2.111324376	50	10.301167
