"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"observed_features_all"
"Pocillopora"	5.830450841	148.6521739	70.8
"Stylophora"	3.687150838	634.4285714	69.6
"Psammocora"	12.38164603	244.75	210.2142857
"Physogyra"	0	1.8	119.2
"Diploastrea"	0.704225352	5	239.6086957
"Echinopora"	1.87680462	46.55555556	104.1875
"Favites"	0.585529067	14.22222222	145.5714286
"Echinophyllia"	0.553505535	55.75	164.0769231
"Hydnophora"	3.109656301	425.5714286	119.35
"Lobophyllia"	3.1543052	145.2941176	150.0196078
"Turbinaria"	1.872074883	44.90909091	207.3142857
"Porites"	16.51667822	340.1538462	150.8181818
"Pachyseris"	2.951510892	6.875	97.2
"Galaxea"	3.649635036	58.5	202.372093
"Acropora"	3.64311332	58.68181818	46.67741935
"Montipora"	9.668287726	0	68.86666667
"Pavona"	4.369457063	3.708333333	191.4383562
"Goniastrea"	0.288018433	6.714285714	274.6428571
"Cyphastrea"	21.66207168	621.6666667	105.8461538
"Seriatopora"	5.12195122	62.75	83
"Tubastraea"	0.909090909	7.285714286	206.44
"Platygyra"	1.229773463	204.4	81.57142857
"Acanthastrea"	0	8	168.7857143
"Montastraea"	2.054854925	0	41
"Orbicella"	3.315238465	11.75	72.42857143
"Stephanocoenia"	2.111324376	50	106.3333333
