host_genus	D_0__Bacteria	D_0__Bacteria;D_1__Proteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__	D_0__Bacteria;__;__;__	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae	D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__	D_0__Bacteria;__;__;__;__	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;__;__	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;D_5__Pseudovibrio	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Stappiaceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Terasakiellaceae;D_5__uncultured	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Midichloriaceae;D_5__MD3-55	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;__;__;__	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Aquabacterium	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Enhydrobacter	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Photobacterium	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;__;__;__	D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Entomoplasmatales;D_4__Spiroplasmataceae;D_5__Spiroplasma	D_0__Bacteria;__;__;__;__;__
Lobophyllia	982.0	768.0625	326.4375	431.5	51.5625	51.1875	73.3125	27.5	7.6875	3.3125	85.875	25.375	163.9375	78.0	79.25	15.375			51.1875	3.0	10.8125	66.1875	27.5	0.0625	1.0	85.875	1.25	96.4375	77.0	5.1875	74.0625	15.375				44.6					0.06666666666666667	1.0	72.73333333333333			1.3333333333333333	70.86666666666666	82.13333333333334	0.06666666666666667	79.0	5.933333333333334	10.333333333333334		16.533333333333335	
Alveopora	995.5	934.0	475.0	459.0			7.5				342.5	1.5	284.0		172.0											342.5	1.5	251.0		1.5	170.5												272.5				232.0			170.5					
Favites	980.25	766.75	538.75	196.75	95.75	16.25	10.5	17.25	427.0	0.5	27.0	7.5	102.5	19.75	29.5	7.25			16.25	4.75	17.75	0.25	17.25	425.0	0.5	27.0	1.5	23.0	18.75	1.25	28.25	7.25				14.0					425.0		18.5			0.75	19.5	18.75		28.25	3.0	3.0			
Orbicella	995.6	612.8	239.2	369.4	4.0	1.2	16.0	2.2	1.8		140.2		188.8	23.6	140.6	0.2			1.2	1.2			2.2	1.8		140.2		152.4	23.6	7.0	133.6	0.2				1.0					1.8		113.2				137.2	23.6	0.4	133.6		0.2			
Lithophyllon	977.0	653.0	291.0	329.0	91.0	65.0	20.0	20.0	6.0		140.0	9.0	137.0		47.0				65.0	12.0		6.0	20.0	4.0		140.0		97.0		1.0	46.0					36.0		6.0			4.0		122.0				67.0			46.0					
Acropora	994.3181818181819	863.2727272727273	383.8181818181818	476.22727272727275	28.681818181818183	24.90909090909091	20.954545454545453	10.590909090909092	2.590909090909091	1.6818181818181819	188.45454545454547	4.090909090909091	203.0909090909091	68.0909090909091	175.0909090909091	8.954545454545455			24.90909090909091	0.18181818181818182	11.863636363636363	0.13636363636363635	10.590909090909092	0.045454545454545456		188.45454545454547	0.045454545454545456	157.54545454545453	67.72727272727273	3.227272727272727	171.86363636363637	8.954545454545455				19.545454545454547					0.045454545454545456		155.0909090909091			0.045454545454545456	131.4090909090909	67.72727272727273		171.86363636363637	1.7727272727272727	7.045454545454546		0.045454545454545456	
Pectinia	997.0	982.5	569.5	413.0	4.0	4.0			3.5	0.5	556.5	22.5	5.5	88.5	235.0				4.0							556.5	22.5	4.0		0.5	234.5					3.0							8.0			22.5	2.5			234.5					
Podabacia	959.5	514.0	189.0	314.0	62.5	87.5	6.0	9.5	17.5	2.5	56.0	3.0	70.0	12.0	57.0	10.5			87.5	9.5	8.5	3.0	9.5		1.0	56.0	1.0	54.5	12.0	8.5	48.5	10.5				86.0						1.0	46.0			1.0	41.5	12.0		48.5	2.5	5.0		0.5	
Merulina	995.3333333333334	824.6666666666666	358.6666666666667	462.6666666666667	96.66666666666667	4.666666666666667	75.66666666666667	17.333333333333332	0.6666666666666666	0.3333333333333333	139.33333333333334	4.666666666666667	228.0		216.66666666666666	2.3333333333333335			4.666666666666667	12.666666666666666	18.0		17.333333333333332		0.3333333333333333	139.33333333333334	1.0	188.66666666666666			216.66666666666666	2.3333333333333335				4.666666666666667							107.33333333333333				167.33333333333334			216.66666666666666		0.6666666666666666			
Leptoria	993.0	883.0	463.5	419.5		9.5	134.5	4.0			227.0		197.0	0.5	204.5				9.5	2.0			4.0			227.0		160.5	0.5		204.5					5.0							211.0				107.5	0.5		204.5					
Sarcophyton	988.0	662.0	240.0	421.0		4.0	3.0				160.0	1.0	175.0		222.0				4.0	10.0						160.0	1.0	162.0			222.0												121.0			1.0	140.0			222.0					
Acanthastrea	1000.0	954.3333333333334	788.0	166.33333333333334	1.3333333333333333		632.0	0.3333333333333333			91.33333333333333		102.33333333333333	0.3333333333333333	57.0							632.0	0.3333333333333333			91.33333333333333		77.0			57.0							592.3333333333334					60.0				58.0			57.0					
Goniopora	925.0	635.0	237.0	395.3333333333333	12.0	19.333333333333332	105.33333333333333	27.666666666666668	1.3333333333333333	1.0	42.0	2.0	56.333333333333336	93.66666666666667	213.66666666666666	3.6666666666666665			19.333333333333332	10.666666666666666	1.3333333333333333		27.666666666666668		0.6666666666666666	42.0		50.333333333333336	93.66666666666667	153.0	60.666666666666664	3.6666666666666665				16.333333333333332						0.6666666666666666	28.666666666666668				43.0	93.66666666666667	142.0	60.666666666666664	2.0	1.3333333333333333		4.666666666666667	
Dendrophyllia	916.0	492.5	205.0	265.5	24.5	5.5	27.0	134.0	3.0		16.5	31.0	37.5	37.5	82.5	14.0			5.5	6.0		4.5	134.0	3.0		16.5		21.0	37.0	4.5	77.5	14.0									3.0		16.0				17.0	37.0		77.5	2.5	11.5			
Galaxea	979.8125	675.0625	324.75	323.8125	48.0	40.5625	63.125	13.125	4.9375	3.1875	104.125	2.9375	120.9375	24.25	96.5	28.125			40.5625	3.4375	10.0	38.25	13.125	0.5		104.125	0.625	104.5	22.875	1.5625	94.9375	28.125				29.1875		38.25			0.4375		79.0625			0.0625	83.9375	22.875		94.9375	2.3125	25.25		1.25	
Montastraea	994.3333333333334	823.3333333333334	376.0	447.3333333333333			11.333333333333334	2.3333333333333335		0.6666666666666666	252.66666666666666		254.0		187.0					1.0			2.3333333333333335		0.6666666666666666	252.66666666666666		208.0		13.333333333333334	173.66666666666666											0.6666666666666666	228.33333333333334				170.0		12.666666666666666	173.66666666666666					
Montipora	980.75	770.0	344.5	415.25	6.75	61.5	13.5	4.0	1.25		208.0		194.25	1.0	215.75				61.5	4.0	4.25	0.5	4.0	1.25		208.0		169.25	1.0	2.5	213.25					42.25					1.25		176.0				128.0	1.0		213.25					
Fungid	978.2	618.8	195.0	412.0	161.6	9.4	8.4	20.6	1.4	0.4	83.0	129.4	120.8	33.8	73.8	5.4			9.4	14.6	0.6	3.0	20.6	0.6	0.2	83.0	118.8	102.6	2.4		73.8	5.4				7.6		0.8				0.2	70.6			118.4	89.6	2.4		73.8	0.6	3.6			
Physogyra	998.6	833.8	399.0	427.6	67.2	21.0	7.2	17.8	63.6		186.2	3.0	259.2	3.2	128.8	0.8			21.0	3.0	2.8	0.4	17.8	50.6		186.2		171.8	3.2	5.0	123.8	0.8				20.0					50.6		151.0				141.6	3.2		123.8		0.8			
Psammocora	994.3333333333334	882.0	371.3333333333333	499.0	14.666666666666666	4.666666666666667	17.0	2.0	1.6666666666666667	0.3333333333333333	207.66666666666666	0.6666666666666666	128.66666666666666	210.66666666666666	116.33333333333333	33.333333333333336			4.666666666666667	8.333333333333334	1.3333333333333333		2.0	0.6666666666666666		207.66666666666666		109.0	210.66666666666666		116.33333333333333	33.333333333333336				3.6666666666666665					0.6666666666666666		173.0				97.66666666666667	210.66666666666666		116.33333333333333		33.333333333333336			
Homophyllia	928.0	597.0	207.0	319.0	43.0	3.0	54.0	22.0			64.0	21.0	57.0	55.0	97.0	2.0			3.0	44.0			22.0			64.0	17.0	51.0	51.0	6.0	91.0	2.0				3.0							55.0			17.0	42.0	51.0		91.0		2.0			
Astrea	1000.0	926.5	417.5	509.0	3.0		15.0	8.5			229.0		339.5		169.5								8.5			229.0		272.0		7.0	162.5												197.5				238.0			162.5					
Stylophora	980.2857142857143	742.2857142857143	256.0	482.7142857142857	20.428571428571427	68.14285714285714	7.714285714285714	5.571428571428571	2.142857142857143	2.857142857142857	115.28571428571429	1.4285714285714286	168.57142857142858	128.0	161.57142857142858	3.4285714285714284			68.14285714285714	0.5714285714285714	5.714285714285714		5.571428571428571			115.28571428571429	0.7142857142857143	139.28571428571428	126.0	7.285714285714286	154.28571428571428	3.4285714285714284				53.142857142857146							92.57142857142857			0.2857142857142857	123.28571428571429	126.0	0.2857142857142857	154.28571428571428	0.5714285714285714	2.5714285714285716		0.2857142857142857	
Millepora	993.5	809.6666666666666	373.6666666666667	434.8333333333333	1.1666666666666667	2.0	11.833333333333334	1.1666666666666667	0.3333333333333333		201.16666666666666	1.3333333333333333	229.66666666666666	15.333333333333334	169.83333333333334	7.166666666666667			2.0	1.0	35.166666666666664		1.1666666666666667	0.16666666666666666		201.16666666666666	0.16666666666666666	182.33333333333334	15.166666666666666	5.333333333333333	164.5	7.166666666666667				0.3333333333333333					0.16666666666666666		176.0			0.16666666666666666	152.16666666666666	15.166666666666666		164.5	2.5	4.666666666666667			
Mycedium	1000.0	895.0	394.0	501.0	5.0	32.0	9.0				205.0		280.0		220.0				32.0							205.0		200.0			220.0					32.0							184.0				175.0			220.0					
